Emp_Id,Employee_Name,Grade,Department,Location,Primary_Skill,Secondary_Skill,Course_ID,Course_Name,Course_Category,Course_Start_Date,Course_End_Date,Duration_Hours,Delivery_Mode,Course_Status,Completion_Percentage,Assessment_Score,Certification_Earned,Business_Priority,Skill_Gap_Score,Manager,Availability_Hours_Per_Week,Current_Project,Bench_Status,Performance_Rating,Learning_Style,Career_Goal,Recommended_Flag
E001,Daniel Park,G5,Engineering,NY,Java,Spring Boot,TM022,Backend API Development,Backend,15-01-2025,28-02-2025,50.0,Hybrid,Completed,100.0,85.0,Yes,High,0.25,Lisa Chen,0.0,Project C,Active,4.2,Hands-on,Tech Lead,0.0
E002,George Wang,G3,Engineering,Seattle,JavaScript,React,TM007,Full Stack Web Development,Development,10-02-2025,25-03-2025,45.0,Online,Completed,100.0,78.0,Yes,High,0.3,Tom Davis,0.0,Project F,Active,3.8,Visual,Senior Developer,0.0
E003,Kevin OBrien,G6,Engineering,Toronto,Java,Microservices,TM042,Software Architecture Design,Architecture,01-03-2025,15-05-2025,70.0,Hybrid,In Progress,65.0,0.0,No,Critical,0.4,Ryan Martinez,10.0,Project J,Active,4.5,Reading,Architect,1.0
E004,Oscar Martinez,G3,IT Support,Dallas,Linux,Shell Scripting,TM036,Linux System Administration,Infrastructure,20-01-2025,05-03-2025,40.0,Hybrid,Completed,100.0,82.0,Yes,High,0.2,Mark Taylor,0.0,Project N,Active,3.6,Hands-on,DevOps Engineer,0.0
E005,Rachel Green,G5,Engineering,Atlanta,Go,Kubernetes,TM014,DevOps and CI/CD Pipeline,DevOps,05-02-2025,20-03-2025,50.0,Hybrid,Completed,100.0,88.0,Yes,Critical,0.15,Sarah Brown,0.0,Project Q,Active,4.3,Hands-on,SRE Lead,0.0
E006,Xavier Ross,G4,IT Support,San Antonio,Windows,PowerShell,TM038,AWS Cloud Practitioner,Cloud,12-03-2025,25-04-2025,40.0,Online,In Progress,70.0,0.0,No,High,0.45,Julia Adams,15.0,Project W,Active,3.9,Visual,Cloud Engineer,1.0
E007,Brandon Scott,G4,QA,Fort Worth,Appium,Mobile Testing,TM023,Automated Testing with Selenium,Testing,01-04-2025,10-05-2025,35.0,Hybrid,Not Started,0.0,0.0,No,High,0.55,Lisa Chen,20.0,Project AA,Bench,3.7,Hands-on,Test Lead,1.0
E008,Henry Adams,G6,Data Science,Washington,Tableau,Power BI,TM030,Machine Learning with Python,Data Science,15-02-2025,10-04-2025,50.0,Hybrid,Completed,100.0,90.0,Yes,Critical,0.2,Amy Garcia,0.0,Project AG,Active,4.6,Reading,AI Lead,0.0
E009,Maria Johnson,G3,QA,Louisville,Cucumber,BDD,TM024,Automated Testing with Selenium,Testing,20-03-2025,15-04-2025,20.0,Online,Completed,100.0,76.0,Yes,High,0.35,Mark Taylor,0.0,Project AL,Active,3.5,Visual,QA Engineer,0.0
E010,Rita Wilson,G4,QA,Sacramento,Robot Framework,Python,TM001,Python Programming Fundamentals,Programming,05-01-2025,10-02-2025,30.0,Online,Completed,100.0,80.0,Yes,High,0.3,Nancy Kim,0.0,Project AQ,Active,3.8,Visual,SDET,0.0
E011,Fiona Clark,G6,Data Science,Boston,Machine Learning,Python,TM004,Machine Learning with Python,Data Science,01-02-2025,25-04-2025,80.0,Hybrid,In Progress,75.0,0.0,No,Critical,0.25,Sarah Brown,8.0,Project E,Active,4.7,Reading,ML Architect,1.0
E012,Julia Santos,G5,Engineering,Denver,Python,FastAPI,TM009,Full Stack Web Development,Development,10-03-2025,05-05-2025,50.0,Hybrid,In Progress,50.0,0.0,No,High,0.4,Amy Garcia,12.0,Project I,Active,4.1,Hands-on,Full Stack Lead,1.0
E013,Patricia White,G6,Engineering,Miami,Scala,Spark,TM027,Data Pipeline Engineering,Data Engineering,20-01-2025,15-03-2025,55.0,Hybrid,Completed,100.0,87.0,Yes,High,0.15,Lisa Chen,0.0,Project O,Active,4.4,Hands-on,Data Architect,0.0
E014,Uma Krishnan,G6,Data Science,San Diego,TensorFlow,PyTorch,TM029,Machine Learning with Python,Data Science,01-03-2025,10-05-2025,65.0,Hybrid,In Progress,60.0,0.0,No,High,0.3,Chris Lee,10.0,Project T,Active,4.8,Reading,AI Researcher,1.0
E015,Zachary King,G6,Data Science,Jacksonville,Spark,Databricks,TM028,Data Pipeline Engineering,Data Engineering,15-02-2025,30-03-2025,40.0,Hybrid,Completed,100.0,84.0,Yes,High,0.2,Jane Doe,0.0,Project Y,Active,4.3,Hands-on,Data Lead,0.0
E016,Ian Foster,G4,Data Science,LA,SQL,PostgreSQL,TM006,Data Analysis and Visualization,Analytics,01-02-2025,10-03-2025,35.0,Hybrid,Completed,100.0,79.0,Yes,High,0.25,Chris Lee,0.0,Project H,Active,4.0,Hands-on,DBA,0.0
E017,Michael Turner,G4,Engineering,Austin,Python,Django,TM002,Python Programming Fundamentals,Programming,20-01-2025,05-03-2025,40.0,Hybrid,Completed,100.0,82.0,Yes,High,0.2,John Smith,0.0,Project L,Active,4.1,Hands-on,Backend Dev,0.0
E018,Tanya Brooks,G4,Engineering,Minneapolis,Ruby,Rails,TM008,Full Stack Web Development,Development,10-02-2025,15-03-2025,30.0,Online,Completed,100.0,75.0,Yes,High,0.45,Nancy Kim,18.0,Project S,Bench,3.9,Visual,Full Stack Dev,1.0
E019,Yolanda Fisher,G5,Engineering,San Jose,TypeScript,Angular,TM007,Full Stack Web Development,Development,01-03-2025,18-04-2025,45.0,Online,In Progress,80.0,0.0,No,High,0.3,John Smith,10.0,Project X,Active,4.2,Visual,Frontend Lead,1.0
E020,Frank Miller,G4,Engineering,Seattle,PHP,Laravel,TM009,Full Stack Web Development,Development,15-03-2025,08-05-2025,50.0,Hybrid,Not Started,0.0,0.0,No,High,0.5,Nancy Kim,22.0,Project AE,Bench,3.8,Hands-on,Backend Dev,1.0
E021,Samuel Wright,G3,Data Science,Detroit,Python,Pandas,TM010,Data Analysis and Visualization,Analytics,01-01-2025,10-02-2025,35.0,Online,Completed,100.0,74.0,Yes,High,0.4,Tom Davis,15.0,Project R,Bench,3.4,Visual,Data Analyst,1.0
E022,Victor Chen,G5,Engineering,Houston,CPP,Qt,TM013,DevOps and CI/CD Pipeline,DevOps,20-02-2025,25-03-2025,30.0,Hybrid,Completed,100.0,81.0,Yes,High,0.25,Amy Garcia,0.0,Project U,Active,4.0,Hands-on,Systems Dev,0.0
E023,Amanda Collins,G3,Engineering,Columbus,HTML,CSS,TM008,Full Stack Web Development,Development,05-02-2025,10-03-2025,30.0,Online,Completed,100.0,77.0,Yes,High,0.35,Mark Taylor,0.0,Project Z,Active,3.5,Visual,Web Dev,0.0
E024,Carmen Diaz,G5,Data Science,Charlotte,SAS,SPSS,TM003,Machine Learning with Python,Data Science,01-03-2025,05-05-2025,60.0,Hybrid,In Progress,55.0,0.0,No,Critical,0.45,Mike Wilson,15.0,Project AB,Active,4.1,Reading,Data Scientist,1.0
E025,Emily Foster,G3,IT Support,San Francisco,MacOS,Jamf,TM035,DevOps and CI/CD Pipeline,DevOps,10-01-2025,28-01-2025,15.0,Online,Completed,100.0,85.0,Yes,High,0.2,Tom Davis,0.0,Project AD,Active,3.6,Visual,IT Admin,0.0
E026,Grace Thompson,G5,QA,Denver,Postman,Newman,TM023,Automated Testing with Selenium,Testing,15-02-2025,25-03-2025,35.0,Hybrid,Completed,100.0,80.0,Yes,High,0.3,Chris Lee,0.0,Project AF,Active,4.0,Hands-on,QA Lead,0.0
E027,Irene Garcia,G3,Engineering,Boston,Kotlin,Android,TM039,Full Stack Web Development,Development,01-03-2025,20-04-2025,45.0,Online,In Progress,40.0,0.0,No,Medium,0.5,Ryan Martinez,18.0,Project AH,Bench,3.7,Visual,Mobile Dev,1.0
E028,Karen Lee,G5,Engineering,Memphis,Swift,iOS,TM039,Full Stack Web Development,Development,10-02-2025,30-03-2025,45.0,Online,Completed,100.0,83.0,Yes,Medium,0.25,John Smith,0.0,Project AJ,Active,4.2,Hands-on,iOS Lead,0.0
E029,Nathan Brown,G4,Engineering,Milwaukee,Node.js,Express,TM040,Full Stack Web Development,Development,20-03-2025,25-04-2025,30.0,Online,In Progress,60.0,0.0,No,Medium,0.35,Lisa Chen,12.0,Project AM,Active,3.9,Hands-on,Backend Dev,1.0
E030,Steve Clark,G5,Engineering,Long Beach,Docker,Compose,TM014,DevOps and CI/CD Pipeline,DevOps,01-02-2025,25-03-2025,50.0,Hybrid,Completed,100.0,86.0,Yes,Critical,0.2,Chris Lee,0.0,Project AR,Active,4.3,Hands-on,DevOps Lead,0.0
E031,Aaron Smith,G5,Engineering,Miami,Terraform,Ansible,TM012,AWS Cloud Practitioner,Cloud,15-01-2025,20-03-2025,60.0,Hybrid,Completed,100.0,88.0,Yes,Critical,0.15,Mike Wilson,0.0,Project AZ,Active,4.4,Hands-on,Cloud Architect,0.0
E032,Carlos Rivera,G3,Engineering,Minneapolis,Vue.js,Nuxt,TM007,Full Stack Web Development,Development,01-04-2025,20-05-2025,45.0,Online,Not Started,0.0,0.0,No,High,0.55,Tom Davis,25.0,Project BB,Bench,3.5,Visual,Frontend Dev,1.0
E033,Edward Blake,G5,IT Support,Cleveland,Splunk,ELK,TM019,Cybersecurity Essentials,Security,10-02-2025,25-03-2025,40.0,Online,Completed,100.0,79.0,Yes,Critical,0.3,Chris Lee,0.0,Project BD,Active,4.0,Reading,Security Analyst,0.0
E034,Gary Cooper,G3,QA,Arlington,TestRail,Zephyr,TM024,Automated Testing with Selenium,Testing,20-03-2025,12-04-2025,20.0,Online,In Progress,70.0,0.0,No,High,0.4,Ryan Martinez,15.0,Project BF,Bench,3.6,Visual,Test Analyst,1.0
E035,Ivan Petrov,G5,Data Science,Bakersfield,dbt,Airflow,TM028,Data Pipeline Engineering,Data Engineering,01-01-2025,15-02-2025,40.0,Hybrid,Completed,100.0,82.0,Yes,High,0.2,John Smith,0.0,Project BH,Active,4.2,Hands-on,Data Engineer,0.0
E036,Kyle Reese,G3,Engineering,Honolulu,Dart,Flutter,TM008,Full Stack Web Development,Development,15-02-2025,20-03-2025,30.0,Online,Completed,100.0,76.0,Yes,High,0.35,Mark Taylor,0.0,Project BJ,Active,3.7,Visual,Mobile Dev,0.0
E037,Marcus Aurelius,G5,Engineering,Anaheim,GraphQL,Apollo,TM022,Backend API Development,Backend,01-03-2025,25-04-2025,50.0,Hybrid,In Progress,45.0,0.0,No,High,0.4,Mike Wilson,15.0,Project BL,Active,4.1,Hands-on,API Developer,1.0
E038,Oscar Wilde,G3,IT Support,St Louis,Zabbix,Nagios,TM011,AWS Cloud Practitioner,Cloud,10-03-2025,25-04-2025,40.0,Online,In Progress,50.0,0.0,No,Critical,0.5,Tom Davis,18.0,Project BN,Bench,3.5,Visual,IT Support,1.0
E039,Quincy Jones,G5,QA,Corpus Christi,Tosca,UFT,TM023,Automated Testing with Selenium,Testing,20-01-2025,28-02-2025,35.0,Hybrid,Completed,100.0,81.0,Yes,High,0.25,Chris Lee,0.0,Project BP,Active,4.0,Hands-on,QA Lead,0.0
E040,Elena Rodriguez,G4,QA,SF,Selenium,Cypress,TM001,Python Programming Fundamentals,Programming,01-02-2025,08-03-2025,30.0,Online,Completed,100.0,78.0,Yes,High,0.3,Mike Wilson,0.0,Project D,Active,3.9,Hands-on,Automation Eng,0.0
E041,Hannah Moore,G5,Engineering,Chicago,Cloud,Azure,TM012,AWS Cloud Practitioner,Cloud,15-02-2025,20-04-2025,60.0,Hybrid,In Progress,70.0,0.0,No,Critical,0.35,Nancy Kim,12.0,Project G,Active,4.2,Reading,Cloud Specialist,1.0
E042,Laura Kim,G3,QA,Montreal,Selenium,Cypress,TM023,Automated Testing with Selenium,Testing,01-03-2025,10-04-2025,35.0,Hybrid,In Progress,65.0,0.0,No,High,0.4,Julia Adams,15.0,Project K,Bench,3.6,Hands-on,QA Analyst,1.0
E043,Nina Patel,G5,Data Science,Phoenix,R,Python,TM003,Machine Learning with Python,Data Science,10-01-2025,15-03-2025,60.0,Hybrid,Completed,100.0,84.0,Yes,Critical,0.2,Jane Doe,0.0,Project M,Active,4.3,Reading,Data Scientist,0.0
E044,Quinn Hayes,G4,QA,Portland,JMeter,Gatling,TM024,Automated Testing with Selenium,Testing,20-02-2025,15-03-2025,20.0,Online,Completed,100.0,80.0,Yes,High,0.25,Mike Wilson,0.0,Project P,Active,3.8,Hands-on,Perf Tester,0.0
E045,Derek Young,G6,Engineering,Indianapolis,Rust,WebAssembly,TM042,Software Architecture Design,Architecture,01-02-2025,20-04-2025,70.0,Hybrid,In Progress,80.0,0.0,No,Critical,0.3,Sarah Brown,8.0,Project AC,Active,4.6,Reading,Systems Architect,1.0
E046,Leo Martinez,G6,Data Science,Baltimore,NLP,Transformers,TM030,Machine Learning with Python,Data Science,15-01-2025,10-03-2025,50.0,Hybrid,Completed,100.0,92.0,Yes,Critical,0.15,Jane Doe,0.0,Project AK,Active,4.7,Reading,NLP Lead,0.0
E047,Paul Anderson,G6,Engineering,Tucson,Erlang,Elixir,TM009,Full Stack Web Development,Development,01-03-2025,28-04-2025,50.0,Hybrid,In Progress,55.0,0.0,No,High,0.4,Sarah Brown,12.0,Project AO,Active,4.4,Hands-on,Backend Architect,1.0
E048,Tracy Moore,G6,Data Science,Kansas City,Kafka,Flink,TM027,Data Pipeline Engineering,Data Engineering,10-02-2025,10-04-2025,55.0,Hybrid,Completed,100.0,86.0,Yes,High,0.2,Amy Garcia,0.0,Project AS,Active,4.5,Hands-on,Stream Engineer,0.0
E049,Bella Swan,G6,QA,Oakland,Security,OWASP,TM020,Cybersecurity Essentials,Security,01-01-2025,05-03-2025,60.0,Hybrid,Completed,100.0,85.0,Yes,Critical,0.25,Sarah Brown,0.0,Project BA,Active,4.3,Hands-on,Security Lead,0.0
E050,Faye Wong,G6,Engineering,Wichita,Clojure,ClojureScript,TM002,Python Programming Fundamentals,Programming,15-02-2025,30-03-2025,40.0,Hybrid,Completed,100.0,80.0,Yes,High,0.3,Amy Garcia,0.0,Project BE,Active,4.2,Reading,Functional Dev,0.0
E051,Nancy Drew,G6,Data Science,Santa Ana,MLflow,Kubeflow,TM030,Machine Learning with Python,Data Science,01-03-2025,25-04-2025,50.0,Hybrid,In Progress,75.0,0.0,No,Critical,0.25,Sarah Brown,10.0,Project BM,Active,4.6,Reading,MLOps Lead,1.0
E052,Vera Wang,G6,QA,Greensboro,Accessibility,WCAG,TM025,Agile Project Management,Management,10-01-2025,18-02-2025,35.0,Online,Completed,100.0,78.0,Yes,Medium,0.3,Jane Doe,0.0,Project BU,Active,4.1,Visual,A11y Specialist,0.0
E053,Zeus Olympian,G6,Engineering,Orlando,WebRTC,Socket.io,TM009,Full Stack Web Development,Development,20-02-2025,15-04-2025,50.0,Hybrid,Completed,100.0,84.0,Yes,High,0.2,Sarah Brown,0.0,Project BY,Active,4.4,Hands-on,Real-time Dev,0.0
E054,Hermione Granger,G6,Data Science,Chandler,Jupyter,Colab,TM004,Machine Learning with Python,Data Science,01-01-2025,28-03-2025,80.0,Hybrid,Completed,100.0,91.0,Yes,Critical,0.15,Jane Doe,0.0,Project CG,Active,4.8,Reading,Research Scientist,0.0
E055,Lara Croft,G6,Engineering,Lubbock,Unity,Unreal,TM008,Full Stack Web Development,Development,15-03-2025,18-04-2025,30.0,Online,In Progress,60.0,0.0,No,Medium,0.4,Sarah Brown,15.0,Project CK,Active,4.3,Hands-on,Game Dev,1.0
E056,Tony Stark,G6,Engineering,Des Moines,AI,OpenAI,TM030,Machine Learning with Python,Data Science,01-02-2025,28-03-2025,50.0,Hybrid,Completed,100.0,95.0,Yes,Critical,0.1,Jane Doe,0.0,Project CS,Active,4.9,Hands-on,AI Architect,0.0
E057,Bruce Wayne,G6,Data Science,Modesto,Time Series,Prophet,TM003,Machine Learning with Python,Data Science,10-01-2025,15-03-2025,60.0,Hybrid,Completed,100.0,87.0,Yes,Critical,0.2,Amy Garcia,0.0,Project DA,Active,4.5,Reading,Forecasting Lead,0.0
E058,Rosa Parks,G6,Engineering,Lexington,Microservices,gRPC,TM042,Software Architecture Design,Architecture,01-03-2025,18-05-2025,70.0,Hybrid,In Progress,50.0,0.0,No,Critical,0.35,Amy Garcia,10.0,Project BQ,Active,4.6,Reading,Architect,1.0
E059,Bob Builder,G4,Engineering,Newark,Next.js,React,TM007,Full Stack Web Development,Development,15-02-2025,05-04-2025,45.0,Online,Completed,100.0,79.0,Yes,High,0.25,Nancy Kim,0.0,Project CA,Active,4.0,Visual,Full Stack Dev,0.0
E060,Holly Berry,G4,Engineering,New Orleans,Svelte,SvelteKit,TM008,Full Stack Web Development,Development,01-01-2025,05-02-2025,30.0,Online,Completed,100.0,77.0,Yes,High,0.3,Julia Adams,0.0,Project BG,Active,3.8,Visual,UI Developer,0.0
E061,Luna Lovegood,G4,QA,Aurora,Playwright,Puppeteer,TM023,Automated Testing with Selenium,Testing,20-02-2025,30-03-2025,35.0,Hybrid,Completed,100.0,82.0,Yes,High,0.25,Lisa Chen,0.0,Project BK,Active,3.9,Hands-on,E2E Tester,0.0
E062,Tina Turner,G4,IT Support,Henderson,PagerDuty,OpsGenie,TM011,AWS Cloud Practitioner,Cloud,01-03-2025,15-04-2025,40.0,Online,In Progress,70.0,0.0,No,Critical,0.4,Julia Adams,15.0,Project BS,Bench,3.7,Visual,On-call Eng,1.0
E063,Felicity Smoak,G4,QA,Chula Vista,SoapUI,REST Assured,TM024,Automated Testing with Selenium,Testing,10-01-2025,02-02-2025,20.0,Online,Completed,100.0,83.0,Yes,High,0.2,Julia Adams,0.0,Project CE,Active,4.0,Hands-on,API Tester,0.0
E064,Natasha Romanoff,G4,IT Support,Glendale,Cloudflare,Fastly,TM019,Cybersecurity Essentials,Security,15-02-2025,30-03-2025,40.0,Online,In Progress,65.0,0.0,No,Critical,0.45,Nancy Kim,18.0,Project CM,Bench,3.8,Reading,CDN Specialist,1.0
E065,Robin Hood,G4,Data Science,Boise,Neo4j,Graph,TM005,Data Analysis and Visualization,Analytics,01-01-2025,30-01-2025,25.0,Online,Completed,100.0,80.0,Yes,High,0.3,Julia Adams,0.0,Project CQ,Active,3.9,Hands-on,Graph Analyst,0.0
E066,Xavier Charles,G6,IT Support,Rochester,Kubernetes,Helm,TM037,DevOps and CI/CD Pipeline,DevOps,10-02-2025,20-03-2025,35.0,Hybrid,Completed,100.0,85.0,Yes,Critical,0.2,Sarah Brown,0.0,Project CW,Active,4.4,Hands-on,K8s Admin,0.0
E067,Diana Ross,G4,Engineering,Scottsdale,Remix,Qwik,TM007,Full Stack Web Development,Development,01-03-2025,20-04-2025,45.0,Online,In Progress,55.0,0.0,No,High,0.4,Julia Adams,15.0,Project DC,Bench,3.7,Visual,Web Framework Dev,1.0
E068,Harry Potter,G4,IT Support,Moreno Valley,GitHub Actions,GitLab CI,TM035,DevOps and CI/CD Pipeline,DevOps,15-01-2025,02-02-2025,15.0,Online,Completed,100.0,86.0,Yes,High,0.2,Lisa Chen,0.0,Project DG,Active,4.0,Hands-on,CI CD Admin,0.0
E069,Wendy Liu,G3,QA,Philadelphia,TestNG,JUnit,TM001,Python Programming Fundamentals,Programming,01-02-2025,08-03-2025,30.0,Online,Completed,100.0,75.0,Yes,High,0.35,Ryan Martinez,12.0,Project V,Bench,3.5,Visual,Test Engineer,1.0
E070,James Wilson,G4,IT Support,Nashville,Cisco,Juniper,TM036,Linux System Administration,Infrastructure,20-02-2025,05-04-2025,40.0,Hybrid,Completed,100.0,80.0,Yes,High,0.25,Julia Adams,0.0,Project AI,Active,3.9,Hands-on,Network Eng,0.0
E071,Olivia Davis,G5,IT Support,Albuquerque,AWS,Lambda,TM012,AWS Cloud Practitioner,Cloud,01-01-2025,05-03-2025,60.0,Hybrid,Completed,100.0,84.0,Yes,Critical,0.2,Mike Wilson,0.0,Project AN,Active,4.2,Reading,Cloud Admin,0.0
E072,Victoria Hill,G4,Engineering,Virginia Beach,CSharp,NET Core,TM022,Backend API Development,Backend,15-02-2025,10-04-2025,50.0,Hybrid,In Progress,60.0,0.0,No,High,0.4,Julia Adams,15.0,Project AU,Active,3.8,Hands-on,Software Eng,1.0
E073,Zoe Roberts,G4,IT Support,Raleigh,ServiceNow,ITSM,TM015,Agile Project Management,Management,01-03-2025,25-03-2025,20.0,Online,Completed,100.0,78.0,Yes,Medium,0.3,Lisa Chen,0.0,Project AY,Active,3.9,Reading,ITSM Specialist,0.0
E074,Charlie Chaplin,G5,Data Science,Toledo,Scikit-learn,XGBoost,TM004,Machine Learning with Python,Data Science,10-01-2025,05-04-2025,80.0,Hybrid,In Progress,85.0,0.0,No,Critical,0.25,Chris Lee,8.0,Project CB,Active,4.3,Hands-on,ML Developer,1.0
E075,Gordon Ramsay,G5,Engineering,Orlando,Nginx,HAProxy,TM013,DevOps and CI/CD Pipeline,DevOps,01-02-2025,08-03-2025,30.0,Hybrid,Completed,100.0,82.0,Yes,High,0.2,John Smith,0.0,Project CF,Active,4.1,Hands-on,Infra Eng,0.0
E076,Indiana Jones,G3,IT Support,Laredo,Active Directory,LDAP,TM019,Cybersecurity Essentials,Security,15-03-2025,28-04-2025,40.0,Online,Not Started,0.0,0.0,No,Critical,0.55,Mark Taylor,22.0,Project CH,Bench,3.4,Reading,Directory Admin,1.0
E077,Kevin Hart,G5,QA,Durham,Allure,ReportPortal,TM015,Agile Project Management,Management,01-01-2025,25-01-2025,20.0,Online,Completed,100.0,77.0,Yes,Medium,0.25,Mike Wilson,0.0,Project CJ,Active,4.0,Visual,Test Reporter,0.0
